SHADOW,37
DRAGON,31
war,30
night,27
DEAD,25
CITY,25
DARK,24
BLOOD,23
MAGIC,21
WORLD,20
FIRE,17
DREAM,17
WOLF,17
BLACK,16
KING,16
LORD,16
book,16
LIGHT,15
MOON,15
TIME,15
LAST,15
god,14
STAR,14
STORM,12
HEART,12
DEMON,11
RED,11
BLUE,11
HUNT,11
KNIGHT,11
GATE,11
man,11
GOLD,10
SWORD,10
SPACE,9
SILVER,9
FURY,9
eye,9
ship,9
DEATH,8
WHITE,8
KINGDOM,8
GHOST,8
QUEEN,8
EMPIRE,8
SKY,8
sun,8
sea,8
HERO,7
WIZARD,7
IRON,7
BOUND,7
HEAVEN,7
HELL,7
WIND,7
water,7
ANGEL,6
MONSTER,6
WITCH,6
THIEF,6
MAGE,6
KUSHIEL,6
BLADE,6
LADY,6
HUNTER,6
EARTH,6
year,6
strange/stranger,6
river,6
RISING,5
TOWER,5
SOUL,5
WINTER,5
SPRING,5
WAY,5
MARS,5
EVIL,5
girl,5
secret,5
thousand,5
TALE,4
CURSE,4
HARRY POTTER,4
SUMMER,4
WARRIOR,4
CHAIN,4
soldier,4
hand,4
old,4
chaos,4
hidden,4
machine,4
mad/madness,4
KISS,3
AGE,3
STEEL,3
EDGE,3
CASTLE,3
FIRST,3
BEYOND,3
INDIGO,3
SONG,3
FOREST,3
head,3
first ,3
new,3
assassin,3
his,3
air,3
edge,3
wreck,3
beast/s,3
goddess,3
lion,3
VAMPIRE,2
AUTUMN,2
EMPEROR,2
EMPRESS,2
FEAR,2
HOPE,2
CROWN,2
YELLOW,2
GREEN,2
GOOD,2
brother,2
wire,2
cold,2
order,2
her,2
detective,2
chains,2
creatures,2
device,2
THRONE,1
SPELL,1
WOMAN,1
BITE,1
ELF,1
PROPHET,1
SMITH,1
SAINT,1
ALGEBRAIST,1
VIOLET,1
boy,1
sister,1
MOUNTAIN,0
EVE,0
ZOMBIE,0
ORANGE,0
BROWN,0
